Anon Student Id	Session Id	Time	Problem Start Time	Problem Name	Level (Course)	Input	Condition Name	Condition Type	Condition Name	Condition Type	Action	Selection	KC (Topic)	KC (LO)	School	Class	CF (Exemplar Answer)	CF (Question Type)	CF (Original Due Date)	CF (Response Time)	CF (Completion Time)	CF (Experiment ID)	CF (Stage)	CF (Anon Teacher Id)	CF (Course)	CF (Question Id)	CF (Assignment Day)	Outcome
1	1	1737549092201.9888	1737549042897.9888	This is a placeholder SHA question for LO20 Set6?	AP Biology	incorrect answer	narrow	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 20	106	1	1	placeholder	Short Answer	1737558342801	49304	1737549102605.9888	1	pre-test	101	AP Biology	spacing-1020-sha-106	pretest	INCORRECT
1	1	1737549155776.9888	1737549102605.9888	This is a placeholder MCQ question for LO23 Set4?	AP Biology	a	narrow	Standard Spacing	low	Question Variability	Select	a	Learning Objective 23	104	1	1	a	Multiple Choice	1737558342801	53171	1737549162324.9888	1	pre-test	101	AP Biology	spacing-1023-mcq-104	pretest	CORRECT
1	1	1737549214452.9888	1737549162324.9888	This is a placeholder MCQ question for LO3 Set5?	AP Biology	a	narrow	Standard Spacing	high	Question Variability	Select	a	Learning Objective 3	105	1	1	a	Multiple Choice	1737558342801	52128	1737549225551.9888	1	pre-test	101	AP Biology	spacing-1003-mcq-105	pretest	CORRECT
1	1	1737549273815.9888	1737549225551.9888	This is a placeholder TOF question for LO4 Set1?	AP Biology	incorrect answer	wide	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 4	101	1	1	true	True or False	1737558342801	48264	1737549287271.9888	1	pre-test	101	AP Biology	spacing-1004-tof-101	pretest	INCORRECT
1	1	1737549327820.9888	1737549287271.9888	This is a placeholder SHA question for LO7 Set4?	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 7	104	1	1	placeholder	Short Answer	1737558342801	40549	1737549338532.9888	1	pre-test	101	AP Biology	spacing-1007-sha-104	pretest	CORRECT
1	1	1737549400888.9888	1737549338532.9888	This is a placeholder MCQ question for LO15 Set5?	AP Biology	incorrect answer	narrow	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 15	105	1	1	a	Multiple Choice	1737558342801	62356	1737549417510.9888	1	pre-test	101	AP Biology	spacing-1015-mcq-105	pretest	INCORRECT
1	1	1737549466013.9888	1737549417510.9888	This is a placeholder TOF question for LO8 Set1?	AP Biology	true	wide	Standard Spacing	low	Question Variability	Select	true	Learning Objective 8	101	1	1	true	True or False	1737558342801	48503	1737549477172.9888	1	pre-test	101	AP Biology	spacing-1008-tof-101	pretest	CORRECT
1	1	1737549522155.9888	1737549477172.9888	This is a placeholder FIB question for LO13 Set6 with _____	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 13	106	1	1	placeholder	Fill in Blank	1737558342801	44983	1737549532754.9888	1	pre-test	101	AP Biology	spacing-1013-fib-106	pretest	CORRECT
1	1	1737549587206.9888	1737549532754.9888	This is a placeholder MCQ question for LO21 Set1?	AP Biology	a	narrow	Standard Spacing	high	Question Variability	Select	a	Learning Objective 21	101	1	1	a	Multiple Choice	1737558342801	54452	1737549598695.9888	1	pre-test	101	AP Biology	spacing-1021-mcq-101	pretest	CORRECT
1	1	1737549645114.9888	1737549598695.9888	This is a placeholder MCQ question for LO17 Set7?	AP Biology	a	wide	Standard Spacing	low	Question Variability	Select	a	Learning Objective 17	107	1	1	a	Multiple Choice	1737558342801	46419	1737549654550.9888	1	pre-test	101	AP Biology	spacing-1017-mcq-107	pretest	CORRECT
1	1	1737549718653.9888	1737549654550.9888	This is a placeholder FIB question for LO9 Set7 with _____	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 9	107	1	1	placeholder	Fill in Blank	1737558342801	64103	1737549727668.9888	1	pre-test	101	AP Biology	spacing-1009-fib-107	pretest	CORRECT
1	1	1737549789164.9888	1737549727668.9888	This is a placeholder SHA question for LO14 Set4?	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 14	104	1	1	placeholder	Short Answer	1737558342801	61496	1737549798304.9888	1	pre-test	101	AP Biology	spacing-1014-sha-104	pretest	CORRECT
1	1	1737549851589.9888	1737549798304.9888	This is a placeholder FIB question for LO11 Set2 with _____	AP Biology	incorrect answer	narrow	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 11	102	1	1	placeholder	Fill in Blank	1737558342801	53285	1737549863692.9888	1	pre-test	101	AP Biology	spacing-1011-fib-102	pretest	INCORRECT
1	1	1737549907720.9888	1737549863692.9888	This is a placeholder FIB question for LO24 Set1 with _____	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 24	101	1	1	placeholder	Fill in Blank	1737558342801	44028	1737549912311.9888	1	pre-test	101	AP Biology	spacing-1024-fib-101	pretest	CORRECT
1	2	1737640344329.0015	1737640315906.0015	This is a placeholder SHA question for LO3 Set5?	AP Biology	placeholder	narrow	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 3	105	1	1	placeholder	Short Answer	1737644742801	28423	1737640351885.0015	1	learning	101	AP Biology	spacing-1003-sha-105	W1D1	CORRECT
1	2	1737640392578.0015	1737640351885.0015	This is a placeholder MCQ question for LO3 Set4?	AP Biology	a	narrow	Standard Spacing	high	Question Variability	Select	a	Learning Objective 3	104	1	1	a	Multiple Choice	1737644742801	40693	1737640396943.0015	1	learning	101	AP Biology	spacing-1003-mcq-104	W1D1	CORRECT
1	2	1737640458932.0015	1737640396943.0015	This is a placeholder TOF question for LO3 Set5?	AP Biology	true	narrow	Standard Spacing	high	Question Variability	Select	true	Learning Objective 3	105	1	1	true	True or False	1737644742801	61989	1737640472372.0015	1	learning	101	AP Biology	spacing-1003-tof-105	W1D1	CORRECT
1	2	1737640531166.0015	1737640472372.0015	This is a placeholder MCQ question for LO3 Set5?	AP Biology	incorrect answer	narrow	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 3	105	1	1	a	Multiple Choice	1737644742801	58794	1737640537980.0015	1	learning	101	AP Biology	spacing-1003-mcq-105	W1D1	INCORRECT
1	2	1737640577049.0015	1737640537980.0015	This is a placeholder FIB question for LO1 Set5 with _____	AP Biology	incorrect answer	wide	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 1	105	1	1	placeholder	Fill in Blank	1737644742801	39069	1737640586508.0015	1	learning	101	AP Biology	spacing-1001-fib-105	W1D1	INCORRECT
1	2	1737640627468.0015	1737640586508.0015	This is a placeholder MCQ question for LO22 Set5?	AP Biology	a	wide	Standard Spacing	high	Question Variability	Select	a	Learning Objective 22	105	1	1	a	Multiple Choice	1737644742801	40960	1737640634178.0015	1	learning	101	AP Biology	spacing-1022-mcq-105	W1D1	CORRECT
1	2	1737640682559.0015	1737640634178.0015	This is a placeholder TOF question for LO19 Set3?	AP Biology	incorrect answer	wide	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 19	103	1	1	true	True or False	1737644742801	48381	1737640693835.0015	1	learning	101	AP Biology	spacing-1019-tof-103	W1D1	INCORRECT
1	2	1737640759970.0015	1737640693835.0015	This is a placeholder TOF question for LO9 Set6?	AP Biology	incorrect answer	wide	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 9	106	1	1	true	True or False	1737644742801	66135	1737640778994.0015	1	learning	101	AP Biology	spacing-1009-tof-106	W1D1	INCORRECT
1	2	1737640832387.0015	1737640778994.0015	This is a placeholder SHA question for LO10 Set1?	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 10	101	1	1	placeholder	Short Answer	1737644742801	53393	1737640847129.0015	1	learning	101	AP Biology	spacing-1010-sha-101	W1D1	CORRECT
1	2	1737640885533.0015	1737640847129.0015	This is a placeholder SHA question for LO3 Set3?	AP Biology	incorrect answer	narrow	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 3	103	1	1	placeholder	Short Answer	1737644742801	38404	1737640891321.0015	1	learning	101	AP Biology	spacing-1003-sha-103	W1D1	INCORRECT
1	2	1737640934529.0015	1737640891321.0015	This is a placeholder TOF question for LO6 Set7?	AP Biology	true	wide	Standard Spacing	low	Question Variability	Select	true	Learning Objective 6	107	1	1	true	True or False	1737644742801	43208	1737640941150.0015	1	learning	101	AP Biology	spacing-1006-tof-107	W1D1	CORRECT
1	2	1737640988438.0015	1737640941150.0015	This is a placeholder SHA question for LO8 Set1?	AP Biology	placeholder	wide	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 8	101	1	1	placeholder	Short Answer	1737644742801	47288	1737640995029.0015	1	learning	101	AP Biology	spacing-1008-sha-101	W1D1	CORRECT
1	2	1737641042692.0015	1737640995029.0015	This is a placeholder TOF question for LO3 Set3?	AP Biology	incorrect answer	narrow	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 3	103	1	1	true	True or False	1737644742801	47663	1737641053080.0015	1	learning	101	AP Biology	spacing-1003-tof-103	W1D1	INCORRECT
1	2	1737641096891.0015	1737641053080.0015	This is a placeholder TOF question for LO3 Set4?	AP Biology	true	narrow	Standard Spacing	high	Question Variability	Select	true	Learning Objective 3	104	1	1	true	True or False	1737644742801	43811	1737641107553.0015	1	learning	101	AP Biology	spacing-1003-tof-104	W1D1	CORRECT
1	2	1737641147254.0015	1737641107553.0015	This is a placeholder FIB question for LO3 Set4 with _____	AP Biology	incorrect answer	narrow	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 3	104	1	1	placeholder	Fill in Blank	1737644742801	39701	1737641152978.0015	1	learning	101	AP Biology	spacing-1003-fib-104	W1D1	INCORRECT
1	2	1737641212326.0015	1737641152978.0015	This is a placeholder SHA question for LO3 Set6?	AP Biology	incorrect answer	narrow	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 3	106	1	1	placeholder	Short Answer	1737644742801	59348	1737641220629.0015	1	learning	101	AP Biology	spacing-1003-sha-106	W1D1	INCORRECT
1	2	1737641267025.0015	1737641220629.0015	This is a placeholder SHA question for LO24 Set5?	AP Biology	incorrect answer	wide	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 24	105	1	1	placeholder	Short Answer	1737644742801	46396	1737641276687.0015	1	learning	101	AP Biology	spacing-1024-sha-105	W1D1	INCORRECT
1	2	1737641314342.0015	1737641276687.0015	This is a placeholder MCQ question for LO3 Set3?	AP Biology	a	narrow	Standard Spacing	high	Question Variability	Select	a	Learning Objective 3	103	1	1	a	Multiple Choice	1737644742801	37655	1737641319232.0015	1	learning	101	AP Biology	spacing-1003-mcq-103	W1D1	CORRECT
1	2	1737641357109.0015	1737641319232.0015	This is a placeholder SHA question for LO2 Set3?	AP Biology	placeholder	wide	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 2	103	1	1	placeholder	Short Answer	1737644742801	37877	1737641366837.0015	1	learning	101	AP Biology	spacing-1002-sha-103	W1D1	CORRECT
1	2	1737641403716.0015	1737641366837.0015	This is a placeholder SHA question for LO3 Set6?	AP Biology	placeholder	narrow	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 3	106	1	1	placeholder	Short Answer	1737644742801	36879	1737641411661.0015	1	learning	101	AP Biology	spacing-1003-sha-106	W1D1	CORRECT
1	2	1737641436876.0015	1737641411661.0015	This is a placeholder FIB question for LO17 Set7 with _____	AP Biology	placeholder	wide	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 17	107	1	1	placeholder	Fill in Blank	1737644742801	25215	1737641439876.0015	1	learning	101	AP Biology	spacing-1017-fib-107	W1D1	CORRECT
1	2	1737641484253.0015	1737641439876.0015	This is a placeholder SHA question for LO3 Set6?	AP Biology	placeholder	narrow	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 3	106	1	1	placeholder	Short Answer	1737644742801	44377	1737641496743.0015	1	learning	101	AP Biology	spacing-1003-sha-106	W1D1	CORRECT
1	2	1737641521948.0015	1737641496743.0015	This is a placeholder TOF question for LO12 Set1?	AP Biology	true	wide	Standard Spacing	low	Question Variability	Select	true	Learning Objective 12	101	1	1	true	True or False	1737644742801	25205	1737641526895.0015	1	learning	101	AP Biology	spacing-1012-tof-101	W1D1	CORRECT
1	2	1737641555651.0015	1737641526895.0015	This is a placeholder MCQ question for LO4 Set1?	AP Biology	a	wide	Standard Spacing	high	Question Variability	Select	a	Learning Objective 4	101	1	1	a	Multiple Choice	1737644742801	28756	1737641558756.0015	1	learning	101	AP Biology	spacing-1004-mcq-101	W1D1	CORRECT
1	3	1737724649523.3076	1737724624466.3076	This is a placeholder FIB question for LO4 Set3 with _____	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 4	103	1	1	placeholder	Fill in Blank	1737731142801	25057	1737724652977.3076	1	learning	101	AP Biology	spacing-1004-fib-103	W1D2	CORRECT
1	3	1737724678866.3076	1737724652977.3076	This is a placeholder MCQ question for LO19 Set3?	AP Biology	a	wide	Standard Spacing	low	Question Variability	Select	a	Learning Objective 19	103	1	1	a	Multiple Choice	1737731142801	25889	1737724684967.3076	1	learning	101	AP Biology	spacing-1019-mcq-103	W1D2	CORRECT
1	3	1737724720368.3076	1737724684967.3076	This is a placeholder FIB question for LO24 Set1 with _____	AP Biology	incorrect answer	wide	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 24	101	1	1	placeholder	Fill in Blank	1737731142801	35401	1737724726993.3076	1	learning	101	AP Biology	spacing-1024-fib-101	W1D2	INCORRECT
1	3	1737724777559.3076	1737724726993.3076	This is a placeholder TOF question for LO2 Set3?	AP Biology	true	wide	Standard Spacing	low	Question Variability	Select	true	Learning Objective 2	103	1	1	true	True or False	1737731142801	50566	1737724787954.3076	1	learning	101	AP Biology	spacing-1002-tof-103	W1D2	CORRECT
1	3	1737724815488.3076	1737724787954.3076	This is a placeholder SHA question for LO8 Set1?	AP Biology	placeholder	wide	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 8	101	1	1	placeholder	Short Answer	1737731142801	27534	1737724819840.3076	1	learning	101	AP Biology	spacing-1008-sha-101	W1D2	CORRECT
1	3	1737724842651.3076	1737724819840.3076	This is a placeholder TOF question for LO7 Set4?	AP Biology	true	narrow	Standard Spacing	low	Question Variability	Select	true	Learning Objective 7	104	1	1	true	True or False	1737731142801	22811	1737724845388.3076	1	learning	101	AP Biology	spacing-1007-tof-104	W1D2	CORRECT
1	3	1737724910441.3076	1737724845388.3076	This is a placeholder SHA question for LO7 Set4?	AP Biology	incorrect answer	narrow	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 7	104	1	1	placeholder	Short Answer	1737731142801	65053	1737724918396.3076	1	learning	101	AP Biology	spacing-1007-sha-104	W1D2	INCORRECT
1	3	1737724965120.3076	1737724918396.3076	This is a placeholder FIB question for LO7 Set4 with _____	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 7	104	1	1	placeholder	Fill in Blank	1737731142801	46724	1737724973747.3076	1	learning	101	AP Biology	spacing-1007-fib-104	W1D2	CORRECT
1	3	1737725007628.3076	1737724973747.3076	This is a placeholder SHA question for LO22 Set3?	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 22	103	1	1	placeholder	Short Answer	1737731142801	33881	1737725014313.3076	1	learning	101	AP Biology	spacing-1022-sha-103	W1D2	CORRECT
1	3	1737725060710.3076	1737725014313.3076	This is a placeholder SHA question for LO7 Set4?	AP Biology	incorrect answer	narrow	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 7	104	1	1	placeholder	Short Answer	1737731142801	46397	1737725072339.3076	1	learning	101	AP Biology	spacing-1007-sha-104	W1D2	INCORRECT
1	3	1737725107072.3076	1737725072339.3076	This is a placeholder MCQ question for LO6 Set7?	AP Biology	a	wide	Standard Spacing	low	Question Variability	Select	a	Learning Objective 6	107	1	1	a	Multiple Choice	1737731142801	34733	1737725116320.3076	1	learning	101	AP Biology	spacing-1006-mcq-107	W1D2	CORRECT
1	3	1737725151987.3076	1737725116320.3076	This is a placeholder MCQ question for LO10 Set2?	AP Biology	incorrect answer	wide	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 10	102	1	1	a	Multiple Choice	1737731142801	35667	1737725160724.3076	1	learning	101	AP Biology	spacing-1010-mcq-102	W1D2	INCORRECT
1	3	1737725211298.3076	1737725160724.3076	This is a placeholder FIB question for LO7 Set4 with _____	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 7	104	1	1	placeholder	Fill in Blank	1737731142801	50574	1737725222471.3076	1	learning	101	AP Biology	spacing-1007-fib-104	W1D2	CORRECT
1	3	1737725274591.3076	1737725222471.3076	This is a placeholder MCQ question for LO7 Set4?	AP Biology	a	narrow	Standard Spacing	low	Question Variability	Select	a	Learning Objective 7	104	1	1	a	Multiple Choice	1737731142801	52120	1737725283915.3076	1	learning	101	AP Biology	spacing-1007-mcq-104	W1D2	CORRECT
1	3	1737725319259.3076	1737725283915.3076	This is a placeholder SHA question for LO7 Set4?	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 7	104	1	1	placeholder	Short Answer	1737731142801	35344	1737725323622.3076	1	learning	101	AP Biology	spacing-1007-sha-104	W1D2	CORRECT
1	3	1737725360805.3076	1737725323622.3076	This is a placeholder SHA question for LO7 Set4?	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 7	104	1	1	placeholder	Short Answer	1737731142801	37183	1737725365048.3076	1	learning	101	AP Biology	spacing-1007-sha-104	W1D2	CORRECT
1	3	1737725415443.3076	1737725365048.3076	This is a placeholder FIB question for LO12 Set1 with _____	AP Biology	placeholder	wide	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 12	101	1	1	placeholder	Fill in Blank	1737731142801	50395	1737725421468.3076	1	learning	101	AP Biology	spacing-1012-fib-101	W1D2	CORRECT
1	3	1737725486746.3076	1737725421468.3076	This is a placeholder FIB question for LO7 Set4 with _____	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 7	104	1	1	placeholder	Fill in Blank	1737731142801	65278	1737725505327.3076	1	learning	101	AP Biology	spacing-1007-fib-104	W1D2	CORRECT
1	3	1737725535197.3076	1737725505327.3076	This is a placeholder FIB question for LO9 Set4 with _____	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 9	104	1	1	placeholder	Fill in Blank	1737731142801	29870	1737725541221.3076	1	learning	101	AP Biology	spacing-1009-fib-104	W1D2	CORRECT
1	3	1737725564730.3076	1737725541221.3076	This is a placeholder TOF question for LO7 Set4?	AP Biology	true	narrow	Standard Spacing	low	Question Variability	Select	true	Learning Objective 7	104	1	1	true	True or False	1737731142801	23509	1737725570414.3076	1	learning	101	AP Biology	spacing-1007-tof-104	W1D2	CORRECT
1	3	1737725606797.3076	1737725570414.3076	This is a placeholder SHA question for LO17 Set7?	AP Biology	placeholder	wide	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 17	107	1	1	placeholder	Short Answer	1737731142801	36383	1737725615149.3076	1	learning	101	AP Biology	spacing-1017-sha-107	W1D2	CORRECT
1	3	1737725670326.3076	1737725615149.3076	This is a placeholder FIB question for LO7 Set4 with _____	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 7	104	1	1	placeholder	Fill in Blank	1737731142801	55177	1737725681745.3076	1	learning	101	AP Biology	spacing-1007-fib-104	W1D2	CORRECT
1	3	1737725746954.3076	1737725681745.3076	This is a placeholder SHA question for LO7 Set4?	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 7	104	1	1	placeholder	Short Answer	1737731142801	65209	1737725763267.3076	1	learning	101	AP Biology	spacing-1007-sha-104	W1D2	CORRECT
1	3	1737725789616.3076	1737725763267.3076	This is a placeholder FIB question for LO1 Set2 with _____	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 1	102	1	1	placeholder	Fill in Blank	1737731142801	26349	1737725793090.3076	1	learning	101	AP Biology	spacing-1001-fib-102	W1D2	CORRECT
1	4	1738240050471.2292	1738240003579.2292	This is a placeholder MCQ question for LO13 Set6?	AP Biology	a	narrow	Standard Spacing	low	Question Variability	Select	a	Learning Objective 13	106	1	1	a	Multiple Choice	1738249542801	46892	1738240064413.2292	1	learning	101	AP Biology	spacing-1013-mcq-106	W2D1	CORRECT
1	4	1738240089030.2292	1738240064413.2292	This is a placeholder SHA question for LO13 Set6?	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 13	106	1	1	placeholder	Short Answer	1738249542801	24617	1738240093299.2292	1	learning	101	AP Biology	spacing-1013-sha-106	W2D1	CORRECT
1	4	1738240131406.2292	1738240093299.2292	This is a placeholder MCQ question for LO13 Set6?	AP Biology	incorrect answer	narrow	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 13	106	1	1	a	Multiple Choice	1738249542801	38107	1738240136432.2292	1	learning	101	AP Biology	spacing-1013-mcq-106	W2D1	INCORRECT
1	4	1738240179902.2292	1738240136432.2292	This is a placeholder SHA question for LO2 Set3?	AP Biology	placeholder	wide	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 2	103	1	1	placeholder	Short Answer	1738249542801	43470	1738240192245.2292	1	learning	101	AP Biology	spacing-1002-sha-103	W2D1	CORRECT
1	4	1738240225940.2292	1738240192245.2292	This is a placeholder SHA question for LO9 Set1?	AP Biology	incorrect answer	wide	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 9	101	1	1	placeholder	Short Answer	1738249542801	33695	1738240229446.2292	1	learning	101	AP Biology	spacing-1009-sha-101	W2D1	INCORRECT
1	4	1738240276287.2292	1738240229446.2292	This is a placeholder SHA question for LO13 Set6?	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 13	106	1	1	placeholder	Short Answer	1738249542801	46841	1738240287624.2292	1	learning	101	AP Biology	spacing-1013-sha-106	W2D1	CORRECT
1	4	1738240348137.2292	1738240287624.2292	This is a placeholder MCQ question for LO13 Set6?	AP Biology	incorrect answer	narrow	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 13	106	1	1	a	Multiple Choice	1738249542801	60513	1738240354335.2292	1	learning	101	AP Biology	spacing-1013-mcq-106	W2D1	INCORRECT
1	4	1738240420107.2292	1738240354335.2292	This is a placeholder MCQ question for LO13 Set6?	AP Biology	a	narrow	Standard Spacing	low	Question Variability	Select	a	Learning Objective 13	106	1	1	a	Multiple Choice	1738249542801	65772	1738240431286.2292	1	learning	101	AP Biology	spacing-1013-mcq-106	W2D1	CORRECT
1	4	1738240461664.2292	1738240431286.2292	This is a placeholder MCQ question for LO13 Set6?	AP Biology	a	narrow	Standard Spacing	low	Question Variability	Select	a	Learning Objective 13	106	1	1	a	Multiple Choice	1738249542801	30378	1738240468925.2292	1	learning	101	AP Biology	spacing-1013-mcq-106	W2D1	CORRECT
1	4	1738240492129.2292	1738240468925.2292	This is a placeholder FIB question for LO13 Set6 with _____	AP Biology	placeholder	narrow	Standard Spacing	low	Question Variability	Select	placeholder	Learning Objective 13	106	1	1	placeholder	Fill in Blank	1738249542801	23204	1738240496337.2292	1	learning	101	AP Biology	spacing-1013-fib-106	W2D1	CORRECT
1	4	1738240522897.2292	1738240496337.2292	This is a placeholder MCQ question for LO24 Set2?	AP Biology	a	wide	Standard Spacing	high	Question Variability	Select	a	Learning Objective 24	102	1	1	a	Multiple Choice	1738249542801	26560	1738240526840.2292	1	learning	101	AP Biology	spacing-1024-mcq-102	W2D1	CORRECT
